CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
37871341,01/18/2008,11:50:00,01/18/2008,12:00:00,60.0,01/18/2008,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),993946.0,149432.0,<18,BLACK,M,,40.57682698,-73.96509632,"(40.57682698, -73.96509632)",PATROL BORO BKLYN SOUTH,(null),<18,BLACK,M
45722537,04/15/2008,17:30:00,,(null),30.0,04/15/2008,117,DANGEROUS DRUGS,507.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),998413.0,241185.0,(null),(null),(null),,40.828661,-73.94882,"(40.828661, -73.94882)",PATROL BORO MAN NORTH,(null),(null),UNKNOWN,E
52473192,10/23/2008,01:00:00,10/23/2008,01:10:00,70.0,10/23/2008,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),993976.0,176569.0,18-24,BLACK,F,,40.651315,-73.964948,"(40.651315, -73.964948)",PATROL BORO BKLYN SOUTH,(null),25-44,BLACK,F
39043360,02/10/2008,12:45:00,02/10/2008,12:50:00,23.0,02/10/2008,126,MISCELLANEOUS PENAL LAW,199.0,AGGRAVATED CRIMINAL CONTEMPT,COMPLETED,FELONY,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1001105.0,227431.0,45-64,BLACK,M,,40.79090555,-73.93913024,"(40.79090555, -73.93913024)",PATROL BORO MAN NORTH,(null),25-44,BLACK,F
44642074,03/19/2008,10:40:00,,(null),32.0,03/19/2008,350,GAMBLING,537.0,"GAMBLING 2, PROMOTING, POLICY-",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),741,998424.0,234705.0,(null),(null),(null),,40.810878,-73.948794,"(40.810878, -73.948794)",PATROL BORO MAN NORTH,(null),(null),UNKNOWN,E
53989449,06/01/2008,00:01:00,11/12/2008,15:30:00,108.0,11/12/2008,110,GRAND LARCENY OF MOTOR VEHICLE,441.0,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,QUEENS,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),998766.0,213843.0,(null),UNKNOWN,(null),,40.7536142,-73.9476066,"(40.7536142, -73.9476066)",PATROL BORO QUEENS NORTH,(null),65+,WHITE,M
54386084,11/24/2008,10:25:00,11/24/2008,10:30:00,25.0,11/24/2008,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,(null),(null),(null),1001351.0,232462.0,(null),(null),(null),,40.804715,-73.938227,"(40.804715, -73.938227)",PATROL BORO MAN NORTH,(null),(null),UNKNOWN,D
49274692,07/27/2008,16:30:00,07/27/2008,23:50:00,81.0,07/28/2008,344,ASSAULT 3 & RELATED OFFENSES,113.0,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1005217.0,190528.0,(null),(null),(null),,40.68961568,-73.92439347,"(40.68961568, -73.92439347)",PATROL BORO BKLYN NORTH,(null),25-44,BLACK,F
52495351,10/23/2008,16:45:00,,(null),73.0,10/23/2008,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),339,1009550.0,181843.0,18-24,BLACK,F,,40.66576,-73.908802,"(40.66576, -73.908802)",PATROL BORO BKLYN NORTH,(null),<18,BLACK,F
48114437,02/15/2008,18:00:00,,(null),34.0,07/08/2008,340,FRAUDS,718.0,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1005201.0,253699.0,(null),(null),(null),,40.862996,-73.924253,"(40.862996, -73.924253)",PATROL BORO MAN NORTH,(null),25-44,WHITE HISPANIC,F
